data,patrimonio_gerida,patrimonio_funcef,patrimonio_total,patrimonio_rv,fluxo_gerida,fluxo_funcef,fluxo_total,fluxo_rv,twr_gerida,twr_total,twr_rv,cdi_acum,ipca_acum,ibov_acum,sp500_brl_acum,nasdaq_brl_acum,ouro_brl_acum,drawdown
2026-01-02,62831.581801081644,1166762.6591580529,1229594.2409591344,7781.537628173828,0.0,0.0,0.0,7862.82,0.0,0.0,0.0,0.0005513100000000826,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-05,63125.24581874133,1166762.6591580529,1229887.9049767943,7715.155410766602,0.0,0.0,0.0,0.0,0.0046738281806972815,0.00023883002040636647,-0.008530732687956566,0.0011029239427162718,0.0,0.00829082029911743,-0.011047815454190646,-0.009683776868572247,0.008613078589644996,0.0
2026-01-06,63220.666082531956,1166762.6591580529,1229983.3252405848,7669.807434082031,0.0,0.0,0.0,0.0,0.00619249540274347,0.00031643307075568394,-0.014358369698973972,0.001654841995715195,0.0,0.019465675007318994,-0.007507490631337266,-0.0029893976443392534,0.016925980055028766,0.0
2026-01-07,63128.91634191005,1166762.6591580529,1229891.575499963,7641.44401550293,0.0,0.0,0.0,0.0,0.0047322466235169,0.00024181517034138622,-0.018003332935598193,0.00220706432665585,0.0,0.008944866979363253,-0.01741476730262803,-0.008986509530201636,0.0005796040054313334,-0.0014512618469114042
2026-01-08,62989.05567094544,1166762.6591580529,1229751.7148289983,7479.218673706055,0.0,0.0,0.0,0.0,0.0025062853003181562,0.00012806978482649,-0.03885079902115973,0.002759591103289827,0.0,0.014937180373616465,-0.015162782218602677,-0.01247473144831901,0.008419685644413866,-0.00366352374845527
2026-01-09,63167.032110476095,1166762.6591580529,1229929.691268529,7527.741241455078,0.0,0.0,0.0,0.0,0.005338880540306068,0.0002728138260736923,-0.03261519751570108,0.003312422493461087,0.0,0.017634344302630556,-0.008288419529560609,-0.0019409205295203291,0.016227761675646102,-0.0008483613884397211
2026-01-12,63574.20744286339,1166762.6591580529,1230336.8666009163,7598.268699645996,0.0,0.0,0.0,0.0,0.011819305204392672,0.0006039599219349601,-0.023551762811541144,0.0038655586651059615,0.0,0.01626396078211534,-0.009729580488194722,-0.004134673927609467,0.03224839223216214,0.0
2026-01-13,63600.590996235296,1166762.6591580529,1230363.2501542883,7639.068412780762,0.0,0.0,0.0,0.0,0.01223921431085806,0.0006254170437181017,-0.018308619992691844,0.004418999786253597,0.0,0.008932408947358583,-0.011024040616524067,-0.005270497668051544,0.03134949849296631,0.0
2026-01-14,63869.5534123401,1166762.6591580529,1230632.212570393,7782.225227355957,0.0,0.0,0.0,0.0,0.016519902595235836,0.0008441578340905309,8.836289368296946e-05,0.004972746025025732,0.0,0.028697076722790094,-0.016737931852935706,-0.016375652450986156,0.041274211786292536,0.0
2026-01-15,65566.78104394357,1166762.6591580529,1232329.4402019964,7706.085395812988,1999.9,0.0,1999.9,0.0,0.01184895922920104,0.0005984009139534674,-0.009696314014810858,0.005526797549636919,0.0,0.0313257214757785,-0.009649657761925279,-0.008686005915797157,0.03984586915350108,0.0
2026-01-16,65526.2509263995,1166762.6591580529,1232288.9100844525,7718.383598327637,0.0,0.0,0.0,0.0,0.011223484612307377,0.0005654922050641886,-0.00811588054493706,0.006081154528394084,0.0,0.0265418371859798,-0.015458032648857034,-0.014554135437699678,0.029162576604504276,-0.0006181501806060198
